# Final state angular momentum:   1
# Broadening parameter (in eV):    0.100
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   47.33733734    0.03595233
   47.41741742    0.03064867
   47.49749750    0.02543669
   47.57757758    0.02164808
   47.65765766    0.01842688
   47.73773774    0.01672424
   47.81781782    0.01859232
   47.89789790    0.02160948
   47.97797798    0.02163059
   48.05805806    0.02009414
   48.13813814    0.01508884
   48.21821822    0.01275616
   48.29829830    0.01251592
   48.37837838    0.01289819
   48.45845846    0.01447670
   48.53853854    0.01426852
   48.61861862    0.01338284
   48.69869870    0.01444644
   48.77877878    0.01473499
   48.85885886    0.01648633
   48.93893894    0.02154347
   49.01901902    0.02370346
   49.09909910    0.01829599
   49.17917918    0.01520358
   49.25925926    0.01549809
   49.33933934    0.01666231
   49.41941942    0.01501529
   49.49949950    0.01323850
   49.57957958    0.01322993
   49.65965966    0.01178598
   49.73973974    0.01335515
   49.81981982    0.01693717
   49.89989990    0.01783071
   49.97997998    0.01517299
   50.06006006    0.01443879
   50.14014014    0.01409014
   50.22022022    0.01534585
   50.30030030    0.01543876
   50.38038038    0.01376633
   50.46046046    0.01349870
   50.54054054    0.01492684
   50.62062062    0.01689405
   50.70070070    0.01542940
   50.78078078    0.01260585
   50.86086086    0.01189940
   50.94094094    0.01281704
   51.02102102    0.01288706
   51.10110110    0.01304889
   51.18118118    0.01319124
   51.26126126    0.01134920
   51.34134134    0.01115283
   51.42142142    0.01237575
   51.50150150    0.01374955
   51.58158158    0.01394749
   51.66166166    0.01320280
   51.74174174    0.01279241
   51.82182182    0.01250132
   51.90190190    0.01401469
   51.98198198    0.01572473
   52.06206206    0.01562638
   52.14214214    0.01564493
   52.22222222    0.01433101
   52.30230230    0.01233753
   52.38238238    0.01214263
   52.46246246    0.01210383
   52.54254254    0.01196183
   52.62262262    0.01214271
   52.70270270    0.01376072
   52.78278278    0.01468719
   52.86286286    0.01788580
   52.94294294    0.01864225
   53.02302302    0.01633540
   53.10310310    0.01411191
   53.18318318    0.01350206
   53.26326326    0.01364824
   53.34334334    0.01252843
   53.42342342    0.01108611
   53.50350350    0.01010756
   53.58358358    0.01010371
   53.66366366    0.01121707
   53.74374374    0.01119707
   53.82382382    0.01040331
   53.90390390    0.01012671
   53.98398398    0.01076303
   54.06406406    0.00974513
   54.14414414    0.00814036
   54.22422422    0.00780509
   54.30430430    0.00753659
   54.38438438    0.00705413
   54.46446446    0.00646164
   54.54454454    0.00650535
   54.62462462    0.00774601
   54.70470470    0.00903842
   54.78478478    0.00921869
   54.86486486    0.00877358
   54.94494494    0.00646426
   55.02502503    0.00555460
   55.10510511    0.00601939
   55.18518519    0.00679597
   55.26526527    0.00677526
   55.34534535    0.00660692
   55.42542543    0.00724418
   55.50550551    0.00731196
   55.58558559    0.00683165
   55.66566567    0.00682363
   55.74574575    0.00719739
   55.82582583    0.00821159
   55.90590591    0.00821878
   55.98598599    0.00692825
   56.06606607    0.00566498
   56.14614615    0.00537547
   56.22622623    0.00630946
   56.30630631    0.00805679
   56.38638639    0.00969131
   56.46646647    0.00951153
   56.54654655    0.00892159
   56.62662663    0.00886432
   56.70670671    0.00813027
   56.78678679    0.00717080
   56.86686687    0.00729947
   56.94694695    0.00758547
   57.02702703    0.00798424
   57.10710711    0.00832746
   57.18718719    0.00756797
   57.26726727    0.00685290
   57.34734735    0.00683179
   57.42742743    0.00732488
   57.50750751    0.00870685
   57.58758759    0.01048052
   57.66766767    0.00845442
   57.74774775    0.00600067
   57.82782783    0.00577436
   57.90790791    0.00658551
   57.98798799    0.00749746
   58.06806807    0.00666434
   58.14814815    0.00549701
   58.22822823    0.00597755
   58.30830831    0.00795957
   58.38838839    0.01035474
   58.46846847    0.01062718
   58.54854855    0.00965723
   58.62862863    0.00918796
   58.70870871    0.00815506
   58.78878879    0.00742291
   58.86886887    0.00700061
   58.94894895    0.00682805
   59.02902903    0.00691822
   59.10910911    0.00707939
   59.18918919    0.00781362
   59.26926927    0.00936378
   59.34934935    0.01085197
   59.42942943    0.00989276
   59.50950951    0.00854413
   59.58958959    0.00839331
   59.66966967    0.00867117
   59.74974975    0.00883630
   59.82982983    0.00918121
   59.90990991    0.01039491
   59.98998999    0.01063039
   60.07007007    0.00994048
   60.15015015    0.01015155
   60.23023023    0.00886698
   60.31031031    0.00716919
   60.39039039    0.00727729
   60.47047047    0.00782229
   60.55055055    0.00810672
   60.63063063    0.00898292
   60.71071071    0.00929531
   60.79079079    0.00740714
   60.87087087    0.00571207
   60.95095095    0.00541816
   61.03103103    0.00578227
   61.11111111    0.00622718
   61.19119119    0.00657589
   61.27127127    0.00731264
   61.35135135    0.00810679
   61.43143143    0.00782159
   61.51151151    0.00718121
   61.59159159    0.00663644
   61.67167167    0.00677906
   61.75175175    0.00716313
   61.83183183    0.00572236
   61.91191191    0.00425674
   61.99199199    0.00402232
   62.07207207    0.00458241
   62.15215215    0.00497500
   62.23223223    0.00483605
   62.31231231    0.00526929
   62.39239239    0.00606310
   62.47247247    0.00538124
   62.55255255    0.00458546
   62.63263263    0.00480772
   62.71271271    0.00535345
   62.79279279    0.00609170
   62.87287287    0.00702780
   62.95295295    0.00661914
   63.03303303    0.00563681
   63.11311311    0.00573923
   63.19319319    0.00620766
   63.27327327    0.00705162
   63.35335335    0.00888498
   63.43343343    0.00935078
   63.51351351    0.00916862
   63.59359359    0.00938280
   63.67367367    0.00844149
   63.75375375    0.00840245
   63.83383383    0.00886434
   63.91391391    0.00947117
   63.99399399    0.00979488
   64.07407407    0.01189716
   64.15415415    0.01450775
   64.23423423    0.01298134
   64.31431431    0.00929281
   64.39439439    0.00788500
   64.47447447    0.00792800
   64.55455455    0.00784555
   64.63463463    0.00836837
   64.71471471    0.00843274
   64.79479479    0.00754236
   64.87487487    0.00734953
   64.95495495    0.00627605
   65.03503504    0.00505384
   65.11511512    0.00526231
   65.19519520    0.00692189
   65.27527528    0.00828255
   65.35535536    0.00729198
   65.43543544    0.00602807
   65.51551552    0.00561832
   65.59559560    0.00592672
   65.67567568    0.00578519
   65.75575576    0.00568916
   65.83583584    0.00660325
   65.91591592    0.00887658
   65.99599600    0.00990710
   66.07607608    0.00778738
   66.15615616    0.00573468
   66.23623624    0.00518165
   66.31631632    0.00573878
   66.39639640    0.00703851
   66.47647648    0.00700774
   66.55655656    0.00522975
   66.63663664    0.00450626
   66.71671672    0.00452702
   66.79679680    0.00494603
   66.87687688    0.00490477
   66.95695696    0.00417173
   67.03703704    0.00346046
