# Final state angular momentum:   1
# Broadening parameter (in eV):    0.100
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   49.41941942    0.02798115
   49.49949950    0.02985389
   49.57957958    0.02835558
   49.65965966    0.02719801
   49.73973974    0.02617144
   49.81981982    0.02777255
   49.89989990    0.02942169
   49.97997998    0.02294892
   50.06006006    0.02117522
   50.14014014    0.02593450
   50.22022022    0.03205703
   50.30030030    0.02673158
   50.38038038    0.02193588
   50.46046046    0.02033317
   50.54054054    0.02197626
   50.62062062    0.02188251
   50.70070070    0.01833140
   50.78078078    0.01798343
   50.86086086    0.01990421
   50.94094094    0.01974075
   51.02102102    0.01762185
   51.10110110    0.01682661
   51.18118118    0.01578044
   51.26126126    0.01735513
   51.34134134    0.01585039
   51.42142142    0.01581709
   51.50150150    0.01444840
   51.58158158    0.01269208
   51.66166166    0.01275489
   51.74174174    0.01239483
   51.82182182    0.01331062
   51.90190190    0.01549135
   51.98198198    0.01743209
   52.06206206    0.01870416
   52.14214214    0.01452914
   52.22222222    0.01249378
   52.30230230    0.01359142
   52.38238238    0.01715192
   52.46246246    0.02015735
   52.54254254    0.01571797
   52.62262262    0.01137595
   52.70270270    0.01075555
   52.78278278    0.01309502
   52.86286286    0.01413591
   52.94294294    0.01057644
   53.02302302    0.00867876
   53.10310310    0.00912383
   53.18318318    0.01147737
   53.26326326    0.01708750
   53.34334334    0.02298872
   53.42342342    0.02434096
   53.50350350    0.02299005
   53.58358358    0.02572742
   53.66366366    0.03431763
   53.74374374    0.02850731
   53.82382382    0.02157798
   53.90390390    0.02216919
   53.98398398    0.02176017
   54.06406406    0.01917553
   54.14414414    0.01917751
   54.22422422    0.02147959
   54.30430430    0.02711350
   54.38438438    0.02941717
   54.46446446    0.02556542
   54.54454454    0.02275271
   54.62462462    0.02405251
   54.70470470    0.02105105
   54.78478478    0.01788215
   54.86486486    0.01809195
   54.94494494    0.02312285
   55.02502503    0.03198416
   55.10510511    0.03714419
   55.18518519    0.03120695
   55.26526527    0.02352196
   55.34534535    0.02038715
   55.42542543    0.02089117
   55.50550551    0.02219952
   55.58558559    0.02668773
   55.66566567    0.03138202
   55.74574575    0.03293077
   55.82582583    0.03446004
   55.90590591    0.03277782
   55.98598599    0.03229013
   56.06606607    0.03259880
   56.14614615    0.03438778
   56.22622623    0.03239105
   56.30630631    0.03007114
   56.38638639    0.02304341
   56.46646647    0.01930369
   56.54654655    0.01865044
   56.62662663    0.01609828
   56.70670671    0.01664335
   56.78678679    0.01837147
   56.86686687    0.01615844
   56.94694695    0.01187389
   57.02702703    0.01026483
   57.10710711    0.01042457
   57.18718719    0.00892369
   57.26726727    0.00823239
   57.34734735    0.00945971
   57.42742743    0.01289090
   57.50750751    0.01508036
   57.58758759    0.01313447
   57.66766767    0.01432796
   57.74774775    0.01897730
   57.82782783    0.02070696
   57.90790791    0.01537302
   57.98798799    0.01193475
   58.06806807    0.01169556
   58.14814815    0.01278374
   58.22822823    0.01393172
   58.30830831    0.01683710
   58.38838839    0.01870187
   58.46846847    0.01955883
   58.54854855    0.01635811
   58.62862863    0.01358310
   58.70870871    0.01306114
   58.78878879    0.01495137
   58.86886887    0.01522004
   58.94894895    0.01343718
   59.02902903    0.01172088
   59.10910911    0.01146182
   59.18918919    0.01346768
   59.26926927    0.01482655
   59.34934935    0.01598140
   59.42942943    0.01552634
   59.50950951    0.01230465
   59.58958959    0.01078282
   59.66966967    0.01112636
   59.74974975    0.01305026
   59.82982983    0.01551320
   59.90990991    0.01568755
   59.98998999    0.01444703
   60.07007007    0.01211204
   60.15015015    0.01002322
   60.23023023    0.00949102
   60.31031031    0.01032230
   60.39039039    0.01351377
   60.47047047    0.01513205
   60.55055055    0.01362117
   60.63063063    0.01095279
   60.71071071    0.00902254
   60.79079079    0.00899855
   60.87087087    0.00812596
   60.95095095    0.00655466
   61.03103103    0.00650612
   61.11111111    0.00795547
   61.19119119    0.00954606
   61.27127127    0.00915243
   61.35135135    0.00835632
   61.43143143    0.00883577
   61.51151151    0.01032448
   61.59159159    0.00961738
   61.67167167    0.00976766
   61.75175175    0.01032916
   61.83183183    0.01137886
   61.91191191    0.01453636
   61.99199199    0.01513066
   62.07207207    0.01397324
   62.15215215    0.01496455
   62.23223223    0.01656446
   62.31231231    0.01328014
   62.39239239    0.01070700
   62.47247247    0.00993411
   62.55255255    0.01085116
   62.63263263    0.01214024
   62.71271271    0.01238899
   62.79279279    0.01169865
   62.87287287    0.01093279
   62.95295295    0.01008826
   63.03303303    0.00931434
   63.11311311    0.00841615
   63.19319319    0.00825787
